team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
BORG,Reggie Borges,Francisco Lindor,SS,30,1,Keep,31,1
BORG,Reggie Borges,Devin Williams,RP,18,1,Draft,19,1
BORG,Reggie Borges,Trea Turner,SS,16,2,Keep,19,3
BORG,Reggie Borges,Shane McClanahan,SP,14,1,Trade,15,1
BORG,Reggie Borges,Bo Bichette,SS,13,0,Keep,13,0
BORG,Reggie Borges,Josh Hader,RP,12,2,Keep,15,3
BORG,Reggie Borges,Michael Harris II,OF,9,1,Trade,10,1
BORG,Reggie Borges,Nico Hoerner,2B,9,2,Keep,12,3
BORG,Reggie Borges,Pablo Lopez,SP,8,1,Keep,9,1
BORG,Reggie Borges,Christian Scott,SP,6,1,FA,7,1
BORG,Reggie Borges,Emerson Hancock,SP,6,1,FA,7,1
BORG,Reggie Borges,Tanner Bibee,SP,6,2,Keep,9,3
BORG,Reggie Borges,Tyler Soderstrom,OF,6,1,Keep,7,1
BORG,Reggie Borges,Cody Bellinger,OF/1B,5,1,Keep,6,1
BORG,Reggie Borges,Jacob Lopez,SP,5,1,FA,6,1
BORG,Reggie Borges,Keider Montero,SP,5,1,FA,6,1
BORG,Reggie Borges,Vinnie Pasquantino,1B,5,2,Keep,8,3
BORG,Reggie Borges,Royce Lewis,3B,4,1,FA,5,1
BORG,Reggie Borges,Spencer Torkelson,1B,4,1,Keep,5,1
BORG,Reggie Borges,Walbert Urena,SP,4,1,FA,5,1
BORG,Reggie Borges,Andrew Alvarez,SP,3,1,FA,4,1
BORG,Reggie Borges,Griffin Conine,OF,3,1,FA,4,1
BORG,Reggie Borges,Jeffrey Springs,SP,3,1,FA,4,1
BORG,Reggie Borges,Kyle Leahy,SP,3,1,FA,4,1
BORG,Reggie Borges,Liam Hicks,C,3,1,Trade,4,1
BORG,Reggie Borges,Trevor Megill,RP,3,1,FA,4,1
BORG,Reggie Borges,Byron Buxton,OF,2,1,Keep,3,1
BORG,Reggie Borges,Roki Sasaki,SP,2,2,Keep,5,3
BORG,Reggie Borges,Casey Mize,SP,1,1,Trade,2,1
