team,owner,player,mlb_team,primary_position,positions,acquired,service_year,salary,next_year_salary,escalator
CHAZ,Charlie Cole,Hunter Goodman,COL,C,C/DH,Trade,1,6,7,1
CHAZ,Charlie Cole,Mickey Gasper,BOS,C,C/1B/DH,FA,1,3,4,1
CHAZ,Charlie Cole,Luis Arraez,PHI,1B,1B/2B/DH,Keep,2,9,12,3
CHAZ,Charlie Cole,Jake Bauers,MIL,1B,1B/OF,FA,1,4,5,1
CHAZ,Charlie Cole,Charlie Condon,COL,1B,1B,FA,1,3,4,1
CHAZ,Charlie Cole,Gleyber Torres,DET,2B,2B/DH,FA,1,3,4,1
CHAZ,Charlie Cole,Sam Antonacci,CHW,2B,2B/3B/OF,FA,1,3,4,1
CHAZ,Charlie Cole,Ernie Clement,TOR,3B,3B/2B/SS,FA,1,3,4,1
CHAZ,Charlie Cole,JJ Wetherholt,STL,SS,SS/2B,Keep,2,4,7,3
CHAZ,Charlie Cole,Seaver King,WSH,SS,SS,FA,1,3,4,1
CHAZ,Charlie Cole,Ceddanne Rafaela,BOS,OF,OF/2B,Keep,2,5,8,3
CHAZ,Charlie Cole,Seiya Suzuki,CHC,OF,DH/OF,Keep,2,5,8,3
CHAZ,Charlie Cole,Jo Adell,CLE,OF,OF/DH,Trade,1,4,5,1
CHAZ,Charlie Cole,Henry Bolte,ATH,OF,OF,FA,1,3,4,1
CHAZ,Charlie Cole,Trent Grisham,NYY,OF,OF,FA,1,3,4,1
CHAZ,Charlie Cole,Willi Castro,COL,OF,OF/1B/2B/3B/SS,FA,1,3,4,1
CHAZ,Charlie Cole,Carlos Rodon,NYY,SP,SP,Keep,2,12,15,3
CHAZ,Charlie Cole,Jesus Luzardo,PHI,SP,SP,Trade,1,6,7,1
CHAZ,Charlie Cole,Chase Burns,CIN,SP,SP,Keep,2,5,8,3
CHAZ,Charlie Cole,Logan Webb,SF,SP,SP,Keep,2,5,8,3
CHAZ,Charlie Cole,Nick Pivetta,SD,SP,SP,Keep,2,5,8,3
CHAZ,Charlie Cole,Blade Tidwell,SF,SP,SP/RP,FA,1,4,5,1
CHAZ,Charlie Cole,Yoshinobu Yamamoto,LAD,SP,SP,Keep,2,4,7,3
CHAZ,Charlie Cole,Clarke Schmidt,NYY,SP,SP,FA,1,3,4,1
CHAZ,Charlie Cole,Dean Kremer,MIN,SP,SP,FA,1,3,4,1
CHAZ,Charlie Cole,Reid Detmers,LAA,RP,RP/SP,Draft,1,20,21,1
CHAZ,Charlie Cole,Braxton Ashcraft,PIT,RP,RP/SP,Keep,2,4,7,3
CHAZ,Charlie Cole,Joey Cantillo,CLE,RP,RP/SP,Trade,1,4,5,1
CHAZ,Charlie Cole,Jack Perkins,ATH,RP,RP/SP,FA,1,3,4,1
