team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
HAWN,Brian Hawn,Sandy Alcantara,SP,16,1,Keep,17,1
HAWN,Brian Hawn,Tarik Skubal,SP,15,1,Trade,16,1
HAWN,Brian Hawn,Gunnar Henderson,SS,14,1,Trade,15,1
HAWN,Brian Hawn,Pete Crow-Armstrong,OF,12,4,Keep,19,7
HAWN,Brian Hawn,Oneil Cruz,OF,11,1,Draft,12,1
HAWN,Brian Hawn,Connelly Early,SP,9,2,Keep,12,3
HAWN,Brian Hawn,TJ Rumfield,3B,7,1,FA,8,1
HAWN,Brian Hawn,Xavier Edwards,SS,7,1,Draft,8,1
HAWN,Brian Hawn,Bryce Eldridge,UT,6,1,Trade,7,1
HAWN,Brian Hawn,Casey Schmitt,2B,5,1,FA,6,1
HAWN,Brian Hawn,Christian Walker,1B,5,1,FA,6,1
HAWN,Brian Hawn,Dillon Dingler,C,5,1,FA,6,1
HAWN,Brian Hawn,Gregory Soto,RP,5,1,FA,6,1
HAWN,Brian Hawn,Jackson Jobe,SP,5,1,Trade,6,1
HAWN,Brian Hawn,Andy Pages,OF,4,2,Keep,7,3
HAWN,Brian Hawn,Antonio Senzatela,SP,4,1,FA,5,1
HAWN,Brian Hawn,Brent Headrick,RP,4,1,FA,5,1
HAWN,Brian Hawn,Chase Meidroth,SS,4,1,FA,5,1
HAWN,Brian Hawn,JT Ginn,SP,4,1,FA,5,1
HAWN,Brian Hawn,Jackson Flora,SP,4,1,FA,5,1
HAWN,Brian Hawn,Josue De Paula,OF,4,1,FA,5,1
HAWN,Brian Hawn,Mike Sirota,OF,4,1,FA,5,1
HAWN,Brian Hawn,Taj Bradley,SP,4,1,Trade,5,1
HAWN,Brian Hawn,Andre Pallante,SP,3,1,FA,4,1
HAWN,Brian Hawn,Dominic Canzone,OF,3,1,FA,4,1
HAWN,Brian Hawn,Franklin Arias,SS,3,1,Trade,4,1
HAWN,Brian Hawn,Justin Wrobleski,SP,3,1,Trade,4,1
HAWN,Brian Hawn,Trevor Rogers,SP,3,1,Keep,4,1
HAWN,Brian Hawn,Seth Lugo,SP,2,1,Keep,3,1
