team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
JAKE,Jake Kalos,Ozzie Albies,2B,24,1,Draft,25,1
JAKE,Jake Kalos,Juan Soto,OF,23,4,Keep,30,7
JAKE,Jake Kalos,Kyle Tucker,OF,23,3,Keep,28,5
JAKE,Jake Kalos,Blake Snell,SP,22,1,Trade,23,1
JAKE,Jake Kalos,Aaron Judge,OF,21,1,Keep,22,1
JAKE,Jake Kalos,Bobby Witt Jr.,SS,13,2,Keep,16,3
JAKE,Jake Kalos,Mason Miller,SP,12,1,Keep,13,1
JAKE,Jake Kalos,Eury Perez,SP,9,2,Keep,12,3
JAKE,Jake Kalos,Gavin Williams,SP,9,2,Keep,12,3
JAKE,Jake Kalos,Shane Baz,SP,9,1,Keep,10,1
JAKE,Jake Kalos,Jackson Merrill,SS,8,2,Keep,11,3
JAKE,Jake Kalos,Ranger Suarez,SP,5,1,Keep,6,1
JAKE,Jake Kalos,Sean Manaea,RP/SP,5,1,FA,6,1
JAKE,Jake Kalos,Edward Cabrera,SP,4,1,Trade,5,1
JAKE,Jake Kalos,Kevin McGonigle,SS,4,2,Keep,7,3
JAKE,Jake Kalos,Kyle Bradish,SP,4,2,Keep,7,3
JAKE,Jake Kalos,Tanner Scott,RP,4,1,FA,5,1
JAKE,Jake Kalos,Caleb Durbin,3B,3,1,FA,4,1
JAKE,Jake Kalos,David Peterson,SP,3,1,FA,4,1
JAKE,Jake Kalos,Dustin May,SP,3,1,FA,4,1
JAKE,Jake Kalos,Grant Holmes,SP,3,1,FA,4,1
JAKE,Jake Kalos,Matthew Boyd,SP,3,1,FA,4,1
JAKE,Jake Kalos,Patrick Sandoval,SP,3,1,FA,4,1
JAKE,Jake Kalos,Salvador Perez,C,3,1,FA,4,1
JAKE,Jake Kalos,Steven Kwan,OF,3,1,FA,4,1
JAKE,Jake Kalos,Ty France,1B,3,1,FA,4,1
JAKE,Jake Kalos,Tyler Mahle,SP,3,1,FA,4,1
JAKE,Jake Kalos,Nick Kurtz,1B,2,1,Trade,3,1
