team,owner,player,mlb_team,primary_position,positions,acquired,service_year,salary,next_year_salary,escalator
JST,Joshua Tufts,Samuel Basallo,BAL,C,C/1B/DH,Keep,2,5,8,3
JST,Joshua Tufts,Vladimir Guerrero Jr.,TOR,1B,1B/DH,Keep,2,16,19,3
JST,Joshua Tufts,Ketel Marte,ARI,2B,2B/DH,Keep,1,15,16,1
JST,Joshua Tufts,Jackson Holliday,BAL,2B,2B,Trade,1,9,10,1
JST,Joshua Tufts,Luke Keaschall,MIN,2B,2B/OF,Keep,2,4,7,3
JST,Joshua Tufts,Junior Caminero,TB,3B,3B,Keep,4,12,19,7
JST,Joshua Tufts,Elly De La Cruz,CIN,SS,SS,Keep,4,10,17,7
JST,Joshua Tufts,Sebastian Walcott,TEX,SS,SS/DH,Keep,2,4,7,3
JST,Joshua Tufts,Colson Montgomery,CHW,SS,SS/3B,Keep,1,3,4,1
JST,Joshua Tufts,Jesus Made,MIL,SS,SS,Trade,1,3,4,1
JST,Joshua Tufts,Riley Greene,DET,OF,OF/DH,Keep,1,12,13,1
JST,Joshua Tufts,A.J. Ewing,NYM,OF,OF,FA,1,5,6,1
JST,Joshua Tufts,Joshua Baez,STL,OF,OF,FA,1,4,5,1
JST,Joshua Tufts,Theo Gillen,TB,OF,OF,FA,1,3,4,1
JST,Joshua Tufts,Walker Jenkins,MIN,OF,OF,FA,1,3,4,1
JST,Joshua Tufts,Shohei Ohtani,LAD,UT,DH/SP,Keep,6,41,46,5
JST,Joshua Tufts,Kevin Gausman,CHC,SP,SP,Keep,1,15,16,1
JST,Joshua Tufts,Kade Anderson,SEA,SP,SP,Keep,2,9,12,3
JST,Joshua Tufts,Dylan Cease,TOR,SP,SP,Keep,2,8,11,3
JST,Joshua Tufts,Cole Ragans,KC,SP,SP,Keep,1,7,8,1
JST,Joshua Tufts,Noah Schultz,CHW,SP,SP,Keep,3,7,12,5
JST,Joshua Tufts,Robbie Ray,SD,SP,SP,Keep,2,6,9,3
JST,Joshua Tufts,Brandon Pfaadt,ARI,SP,SP/RP,FA,1,5,6,1
JST,Joshua Tufts,Jonah Tong,NYM,SP,SP,FA,1,5,6,1
JST,Joshua Tufts,Seth Hernandez,PIT,SP,SP,FA,1,4,5,1
JST,Joshua Tufts,Payton Tolle,BOS,SP,SP,Keep,1,3,4,1
JST,Joshua Tufts,Robert Suarez,ATL,RP,RP,Keep,1,9,10,1
JST,Joshua Tufts,Ryan Johnson,LAA,RP,RP/SP,FA,1,5,6,1
JST,Joshua Tufts,Jacob Latz,TEX,RP,RP/SP,FA,1,3,4,1
