team,owner,player,mlb_team,primary_position,positions,acquired,service_year,salary,next_year_salary,escalator
KELL,"Ty Keller, Commissioner",Ivan Herrera,STL,C,DH/C,Keep,2,6,9,3
KELL,"Ty Keller, Commissioner",Gabriel Moreno,ARI,C,C/DH,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Sal Stewart,CIN,1B,1B/3B/DH,Trade,1,30,31,1
KELL,"Ty Keller, Commissioner",Yandy Diaz,TB,1B,DH/1B,Keep,1,8,9,1
KELL,"Ty Keller, Commissioner",Colt Keith,DET,1B,DH/1B/2B/3B,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Nick Gonzales,PIT,2B,2B/3B,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Otto Lopez,MIA,SS,SS/2B,Keep,1,3,4,1
KELL,"Ty Keller, Commissioner",Julio Rodriguez,SEA,OF,OF,Keep,1,14,15,1
KELL,"Ty Keller, Commissioner",Bryan Reynolds,PIT,OF,OF/DH,Keep,2,8,11,3
KELL,"Ty Keller, Commissioner",Wyatt Langford,TEX,OF,OF,Trade,1,7,8,1
KELL,"Ty Keller, Commissioner",Alec Burleson,STL,OF,OF/1B/DH,Keep,2,4,7,3
KELL,"Ty Keller, Commissioner",Cam Smith,HOU,OF,OF,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Cole Carrigg,COL,OF,OF/SS,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Tyler Glasnow,LAD,SP,SP,Keep,1,20,21,1
KELL,"Ty Keller, Commissioner",Corbin Burnes,ARI,SP,SP,Keep,2,14,17,3
KELL,"Ty Keller, Commissioner",MacKenzie Gore,TEX,SP,SP,Keep,2,8,11,3
KELL,"Ty Keller, Commissioner",Bryce Miller,SEA,SP,SP,Keep,1,5,6,1
KELL,"Ty Keller, Commissioner",Andrew Painter,PHI,SP,SP,FA,1,4,5,1
KELL,"Ty Keller, Commissioner",Kodai Senga,NYM,SP,SP/RP,FA,1,4,5,1
KELL,"Ty Keller, Commissioner",Michael Wacha,KC,SP,SP,Keep,2,4,7,3
KELL,"Ty Keller, Commissioner",Mick Abel,MIN,SP,SP,Keep,2,4,7,3
KELL,"Ty Keller, Commissioner",Shane Drohan,MIL,SP,SP/RP,FA,1,4,5,1
KELL,"Ty Keller, Commissioner",Anthony Kay,CHW,SP,SP,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Ben Brown,CHC,SP,SP/RP,FA,1,3,4,1
KELL,"Ty Keller, Commissioner",Jose Soriano,TOR,SP,SP,Keep,1,1,2,1
KELL,"Ty Keller, Commissioner",Peter Lambert,HOU,RP,RP/SP,FA,1,8,9,1
KELL,"Ty Keller, Commissioner",Aroldis Chapman,BOS,RP,RP,Keep,2,5,8,3
KELL,"Ty Keller, Commissioner",Griffin Jax,TB,RP,RP/SP,FA,1,4,5,1
