team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
NISH,Nick Sherrill,Jose Ramirez,3B,34,1,Trade,35,1
NISH,Nick Sherrill,Chris Sale,SP,27,2,Keep,30,3
NISH,Nick Sherrill,Pete Alonso,1B,25,1,Keep,26,1
NISH,Nick Sherrill,Aaron Nola,SP,17,1,Draft,18,1
NISH,Nick Sherrill,Yordan Alvarez,OF,17,1,Trade,18,1
NISH,Nick Sherrill,Sonny Gray,SP,15,2,Keep,18,3
NISH,Nick Sherrill,Paul Skenes,SP,12,3,Trade,17,5
NISH,Nick Sherrill,William Contreras,C,12,4,Keep,19,7
NISH,Nick Sherrill,Fernando Tatis Jr.,SS,10,1,Keep,11,1
NISH,Nick Sherrill,Jac Caglianone,1B,10,2,Draft,13,3
NISH,Nick Sherrill,Alex Bregman,3B,8,2,Keep,11,3
NISH,Nick Sherrill,Andres Munoz,RP,8,3,FA,13,5
NISH,Nick Sherrill,Geraldo Perdomo,SS,7,1,Trade,8,1
NISH,Nick Sherrill,Bryan Baker,RP,6,1,FA,7,1
NISH,Nick Sherrill,Randy Arozarena,OF,6,2,Keep,9,3
NISH,Nick Sherrill,Zebby Matthews,SP,6,1,FA,7,1
NISH,Nick Sherrill,Jung Hoo Lee,OF,5,1,FA,6,1
NISH,Nick Sherrill,Konnor Griffin,OF,5,2,Keep,8,3
NISH,Nick Sherrill,Walker Buehler,SP,5,1,FA,6,1
NISH,Nick Sherrill,Jhoan Duran,RP,4,2,Keep,7,3
NISH,Nick Sherrill,Maikel Garcia,3B,4,2,Keep,7,3
NISH,Nick Sherrill,Nolan McLean,SP,4,2,Keep,7,3
NISH,Nick Sherrill,Ezequiel Duran,2B,3,1,FA,4,1
NISH,Nick Sherrill,Foster Griffin,SP,3,1,FA,4,1
NISH,Nick Sherrill,Luis Garcia Jr,2B,3,1,FA,4,1
NISH,Nick Sherrill,Max Meyer,SP,3,2,Keep,6,3
NISH,Nick Sherrill,River Ryan,SP,3,1,FA,4,1
NISH,Nick Sherrill,Sean Burke,SP,3,1,FA,4,1
