team,owner,player,mlb_team,primary_position,positions,acquired,service_year,salary,next_year_salary,escalator
NORT,Will Norton,Carter Jensen,KC,C,C/DH,FA,1,3,4,1
NORT,Will Norton,Francisco Alvarez,NYM,C,C/DH,FA,1,3,4,1
NORT,Will Norton,Shea Langeliers,ATH,C,C/DH,Keep,2,2,5,3
NORT,Will Norton,Kody Clemens,MIN,1B,1B/2B/OF,FA,1,4,5,1
NORT,Will Norton,Willson Contreras,BOS,1B,1B,Draft,1,3,4,1
NORT,Will Norton,Brice Turang,MIL,2B,2B,Keep,1,6,7,1
NORT,Will Norton,Kazuma Okamoto,TOR,3B,3B/1B,Trade,1,23,24,1
NORT,Will Norton,Zach Neto,LAA,SS,SS,Keep,2,6,9,3
NORT,Will Norton,Jeremy Pena,HOU,SS,SS,Keep,2,5,8,3
NORT,Will Norton,Leo De Vries,ATH,SS,SS,Trade,1,4,5,1
NORT,Will Norton,James Wood,WSH,OF,OF/DH,Trade,1,7,8,1
NORT,Will Norton,Roman Anthony,BOS,OF,OF/DH,FA,3,7,12,5
NORT,Will Norton,Brent Rooker,ATH,OF,DH/OF,FA,1,3,4,1
NORT,Will Norton,Jordan Walker,STL,OF,OF,FA,1,3,4,1
NORT,Will Norton,Kyle Schwarber,PHI,UT,DH,Keep,2,30,33,3
NORT,Will Norton,Framber Valdez,DET,SP,SP,Keep,2,24,27,3
NORT,Will Norton,Didier Fuentes,ATL,SP,SP/RP,Draft,1,11,12,1
NORT,Will Norton,Garrett Crochet,BOS,SP,SP,Trade,3,8,13,5
NORT,Will Norton,Cade Cavalli,WSH,SP,SP,Trade,1,6,7,1
NORT,Will Norton,Bryan Woo,SEA,SP,SP,Keep,1,5,6,1
NORT,Will Norton,Hunter Brown,HOU,SP,SP,Keep,2,5,8,3
NORT,Will Norton,Ryan Pepiot,TB,SP,SP,Trade,1,5,6,1
NORT,Will Norton,Hayden Wesneski,HOU,SP,SP,FA,1,3,4,1
NORT,Will Norton,Jake Bennett,BOS,SP,SP,FA,1,3,4,1
NORT,Will Norton,Landen Roupp,SF,SP,SP,FA,1,3,4,1
NORT,Will Norton,Will Warren,NYY,SP,SP,Keep,1,2,3,1
NORT,Will Norton,Cade Smith,CLE,RP,RP,Keep,2,14,17,3
NORT,Will Norton,Edwin Diaz,LAD,RP,RP,FA,1,8,9,1
NORT,Will Norton,Daniel Palencia,CHC,RP,RP,FA,1,3,4,1
