team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
SPER,Tyler Speer,Jacob deGrom,SP,40,3,Keep,45,5
SPER,Tyler Speer,Freddie Freeman,1B,37,2,Keep,40,3
SPER,Tyler Speer,Jose Altuve,2B,36,5,Keep,41,5
SPER,Tyler Speer,Mookie Betts,SS,28,2,Keep,31,3
SPER,Tyler Speer,Nathan Eovaldi,SP,22,2,Keep,25,3
SPER,Tyler Speer,Nick Lodolo,SP,14,1,Keep,15,1
SPER,Tyler Speer,Cristopher Sanchez,SP,12,4,Keep,19,7
SPER,Tyler Speer,Munetaka Murakami,3B,7,1,FA,8,1
SPER,Tyler Speer,Zach Thornton,SP,7,1,FA,8,1
SPER,Tyler Speer,Cal Raleigh,C,5,2,Keep,8,3
SPER,Tyler Speer,Cole Young,2B,5,1,FA,6,1
SPER,Tyler Speer,JJ Bleday,OF,5,1,Trade,6,1
SPER,Tyler Speer,Eduardo Rodriguez,SP,4,2,Keep,7,3
SPER,Tyler Speer,Ian Seymour,SP/RP,4,2,Keep,7,3
SPER,Tyler Speer,Michael McGreevy,SP,4,2,Keep,7,3
SPER,Tyler Speer,Miguel Vargas,1B/3B,4,2,Keep,7,3
SPER,Tyler Speer,Parker Messick,SP,4,2,Keep,7,3
SPER,Tyler Speer,AJ Blubaugh,RP,3,1,FA,4,1
SPER,Tyler Speer,Angel Martinez,OF,3,1,FA,4,1
SPER,Tyler Speer,Cooper Hjerpe,SP,3,1,FA,4,1
SPER,Tyler Speer,Curtis Mead,1B,3,1,FA,4,1
SPER,Tyler Speer,Emilio Pagan,RP,3,1,FA,4,1
SPER,Tyler Speer,Heriberto Hernandez,LF,3,1,FA,4,1
SPER,Tyler Speer,Jake McCarthy,OF,3,1,FA,4,1
SPER,Tyler Speer,Kyle Harrison,SP,3,1,FA,4,1
SPER,Tyler Speer,Raisel Iglesias,RP,3,1,FA,4,1
SPER,Tyler Speer,Tristan Peters,OF,3,1,FA,4,1
SPER,Tyler Speer,Zach Gelof,2B,3,1,FA,4,1
