team,owner,player,positions,salary,service_year,acquired,next_year_salary,escalator
BORG,Reggie Borges,Francisco Lindor,SS,30,1,Keep,31,1
BORG,Reggie Borges,Devin Williams,RP,18,1,Draft,19,1
BORG,Reggie Borges,Trea Turner,SS,16,2,Keep,19,3
BORG,Reggie Borges,Shane McClanahan,SP,14,1,Trade,15,1
BORG,Reggie Borges,Bo Bichette,SS,13,0,Keep,13,0
BORG,Reggie Borges,Josh Hader,RP,12,2,Keep,15,3
BORG,Reggie Borges,Michael Harris II,OF,9,1,Trade,10,1
BORG,Reggie Borges,Nico Hoerner,2B,9,2,Keep,12,3
BORG,Reggie Borges,Pablo Lopez,SP,8,1,Keep,9,1
BORG,Reggie Borges,Christian Scott,SP,6,1,FA,7,1
BORG,Reggie Borges,Emerson Hancock,SP,6,1,FA,7,1
BORG,Reggie Borges,Tanner Bibee,SP,6,2,Keep,9,3
BORG,Reggie Borges,Tyler Soderstrom,OF,6,1,Keep,7,1
BORG,Reggie Borges,Cody Bellinger,OF/1B,5,1,Keep,6,1
BORG,Reggie Borges,Jacob Lopez,SP,5,1,FA,6,1
BORG,Reggie Borges,Keider Montero,SP,5,1,FA,6,1
BORG,Reggie Borges,Vinnie Pasquantino,1B,5,2,Keep,8,3
BORG,Reggie Borges,Royce Lewis,3B,4,1,FA,5,1
BORG,Reggie Borges,Spencer Torkelson,1B,4,1,Keep,5,1
BORG,Reggie Borges,Walbert Urena,SP,4,1,FA,5,1
BORG,Reggie Borges,Andrew Alvarez,SP,3,1,FA,4,1
BORG,Reggie Borges,Griffin Conine,OF,3,1,FA,4,1
BORG,Reggie Borges,Jeffrey Springs,SP,3,1,FA,4,1
BORG,Reggie Borges,Kyle Leahy,SP,3,1,FA,4,1
BORG,Reggie Borges,Liam Hicks,C,3,1,Trade,4,1
BORG,Reggie Borges,Trevor Megill,RP,3,1,FA,4,1
BORG,Reggie Borges,Byron Buxton,OF,2,1,Keep,3,1
BORG,Reggie Borges,Roki Sasaki,SP,2,2,Keep,5,3
BORG,Reggie Borges,Casey Mize,SP,1,1,Trade,2,1
CHAZ,Charlie Cole,Reid Detmers,SP,20,1,Draft,21,1
CHAZ,Charlie Cole,Carlos Rodon,SP,12,2,Keep,15,3
CHAZ,Charlie Cole,Luis Arraez,1B/2B,9,2,Keep,12,3
CHAZ,Charlie Cole,Hunter Goodman,C/OF,6,1,Trade,7,1
CHAZ,Charlie Cole,Jesus Luzardo,SP,6,1,Trade,7,1
CHAZ,Charlie Cole,Ceddanne Rafaela,OF/SS,5,2,Keep,8,3
CHAZ,Charlie Cole,Chase Burns,SP,5,2,Keep,8,3
CHAZ,Charlie Cole,Logan Webb,SP,5,2,Keep,8,3
CHAZ,Charlie Cole,Nick Pivetta,SP,5,2,Keep,8,3
CHAZ,Charlie Cole,Seiya Suzuki,OF,5,2,Keep,8,3
CHAZ,Charlie Cole,Blade Tidwell,SP,4,1,FA,5,1
CHAZ,Charlie Cole,Braxton Ashcraft,SP,4,2,Keep,7,3
CHAZ,Charlie Cole,JJ Wetherholt,SS,4,2,Keep,7,3
CHAZ,Charlie Cole,Jake Bauers,1B,4,1,FA,5,1
CHAZ,Charlie Cole,Jo Adell,OF,4,1,Trade,5,1
CHAZ,Charlie Cole,Joey Cantillo,SP/RP,4,1,Trade,5,1
CHAZ,Charlie Cole,Yoshinobu Yamamoto,SP,4,2,Keep,7,3
CHAZ,Charlie Cole,Charlie Condon,1B,3,1,FA,4,1
CHAZ,Charlie Cole,Clarke Schmidt,SP,3,1,FA,4,1
CHAZ,Charlie Cole,Dean Kremer,SP,3,1,FA,4,1
CHAZ,Charlie Cole,Ernie Clement,3B,3,1,FA,4,1
CHAZ,Charlie Cole,Gleyber Torres,2B,3,1,FA,4,1
CHAZ,Charlie Cole,Henry Bolte,RF,3,1,FA,4,1
CHAZ,Charlie Cole,Jack Perkins,RP,3,1,FA,4,1
CHAZ,Charlie Cole,Mickey Gasper,C,3,1,FA,4,1
CHAZ,Charlie Cole,Sam Antonacci,2B,3,1,FA,4,1
CHAZ,Charlie Cole,Seaver King,SS,3,1,FA,4,1
CHAZ,Charlie Cole,Trent Grisham,CF,3,1,FA,4,1
CHAZ,Charlie Cole,Willi Castro,RF,3,1,FA,4,1
FREE,Kevin Freeman,Bryce Harper,OF,44,2,Keep,47,3
FREE,Kevin Freeman,Zack Wheeler,SP,20,3,Keep,25,5
FREE,Kevin Freeman,George Kirby,SP,17,1,Trade,18,1
FREE,Kevin Freeman,Jackson Chourio,OF,12,4,Keep,19,7
FREE,Kevin Freeman,Joe Ryan,SP,12,3,Keep,17,5
FREE,Kevin Freeman,Rafael Devers,3B,12,1,Trade,13,1
FREE,Kevin Freeman,Hunter Greene,SP,11,2,Keep,14,3
FREE,Kevin Freeman,Bubba Chandler,SP,7,3,Keep,12,5
FREE,Kevin Freeman,Jazz Chisholm Jr.,OF/3B,6,2,Keep,9,3
FREE,Kevin Freeman,Drake Baldwin,C,5,2,Keep,8,3
FREE,Kevin Freeman,Emmet Sheehan,SP,5,1,FA,6,1
FREE,Kevin Freeman,Jacob Wilson,SS,5,2,Keep,8,3
FREE,Kevin Freeman,Spencer Schwellenbach,SP,5,1,Trade,6,1
FREE,Kevin Freeman,Brandon Young,SP,4,1,FA,5,1
FREE,Kevin Freeman,Coby Mayo,1B,4,1,FA,5,1
FREE,Kevin Freeman,Louis Varland,SP,4,1,FA,5,1
FREE,Kevin Freeman,Manny Machado,3B,4,1,FA,5,1
FREE,Kevin Freeman,Adrian Morejon,RP,3,1,FA,4,1
FREE,Kevin Freeman,Brooks Lee,SS,3,1,FA,4,1
FREE,Kevin Freeman,Cooper Pratt,SS,3,1,FA,4,1
FREE,Kevin Freeman,Gage Wood,SP,3,1,FA,4,1
FREE,Kevin Freeman,Jarlin Susana,SP,3,1,FA,4,1
FREE,Kevin Freeman,Logan Henderson,SP,3,1,FA,4,1
FREE,Kevin Freeman,Quinn Mathews,SP,3,1,FA,4,1
FREE,Kevin Freeman,Ryan O'Hearn,1B,3,1,FA,4,1
FREE,Kevin Freeman,Tyler Wells,SP,3,1,FA,4,1
FREE,Kevin Freeman,Michael Busch,1B,2,1,Trade,3,1
FREE,Kevin Freeman,Chase DeLauter,OF,1,1,Draft,2,1
FREE,Kevin Freeman,Ryan Sloane,SP,1,1,Draft,2,1
GORD,Gordie Hanrahan,Shoto Imanaga,SP,35,1,Draft,36,1
GORD,Gordie Hanrahan,Matt Olson,1B,25,1,Trade,26,1
GORD,Gordie Hanrahan,Ronald Acuna,OF,24,1,Trade,25,1
GORD,Gordie Hanrahan,Max Fried,SP,18,2,Keep,21,3
GORD,Gordie Hanrahan,Corbin Carroll,OF,13,1,Keep,14,1
GORD,Gordie Hanrahan,Corey Seager,SS,8,2,Keep,11,3
GORD,Gordie Hanrahan,Drew Rasmussen,SP,7,3,Keep,12,5
GORD,Gordie Hanrahan,Josh Naylor,1B,7,2,Keep,10,3
GORD,Gordie Hanrahan,Logan Gilbert,SP,7,1,Trade,8,1
GORD,Gordie Hanrahan,Max Muncy LAD,3B,7,1,FA,8,1
GORD,Gordie Hanrahan,Mike Trout,OF,7,1,Trade,8,1
GORD,Gordie Hanrahan,Cam Schlittler,SP,6,1,Keep,7,1
GORD,Gordie Hanrahan,Troy Melton,RP,6,1,Trade,7,1
GORD,Gordie Hanrahan,Adley Rutschman,C,5,1,FA,6,1
GORD,Gordie Hanrahan,Cristian Javier,SP,5,1,FA,6,1
GORD,Gordie Hanrahan,Michael King,SP,5,1,Keep,6,1
GORD,Gordie Hanrahan,Brandon Lowe,2B,4,2,Keep,7,3
GORD,Gordie Hanrahan,Daylen Lile,OF,4,2,Keep,7,3
GORD,Gordie Hanrahan,Gerrit Cole,SP,4,1,Keep,5,1
GORD,Gordie Hanrahan,Mickey Moniak,OF,4,1,FA,5,1
GORD,Gordie Hanrahan,Clay Holmes,RP,3,1,FA,4,1
GORD,Gordie Hanrahan,Colt Emerson,SS,3,1,FA,4,1
GORD,Gordie Hanrahan,Kris Bubic,SP,3,1,FA,4,1
GORD,Gordie Hanrahan,Mason Montgomery,RP,3,1,FA,4,1
GORD,Gordie Hanrahan,Mauricio Dubon,OF,3,1,FA,4,1
GORD,Gordie Hanrahan,Rico Garcia,RP,3,1,FA,4,1
GORD,Gordie Hanrahan,Riley O'Brien,RP,3,1,FA,4,1
GORD,Gordie Hanrahan,Ryan Jeffers,C,3,1,FA,4,1
GORD,Gordie Hanrahan,Nick Martinez,RP/SP,2,1,Draft,3,1
GORD,Gordie Hanrahan,Cade Horton,SP,0,1,FA,1,1
HAWN,Brian Hawn,Sandy Alcantara,SP,16,1,Keep,17,1
HAWN,Brian Hawn,Tarik Skubal,SP,15,1,Trade,16,1
HAWN,Brian Hawn,Gunnar Henderson,SS,14,1,Trade,15,1
HAWN,Brian Hawn,Pete Crow-Armstrong,OF,12,4,Keep,19,7
HAWN,Brian Hawn,Oneil Cruz,OF,11,1,Draft,12,1
HAWN,Brian Hawn,Connelly Early,SP,9,2,Keep,12,3
HAWN,Brian Hawn,TJ Rumfield,3B,7,1,FA,8,1
HAWN,Brian Hawn,Xavier Edwards,SS,7,1,Draft,8,1
HAWN,Brian Hawn,Bryce Eldridge,UT,6,1,Trade,7,1
HAWN,Brian Hawn,Casey Schmitt,2B,5,1,FA,6,1
HAWN,Brian Hawn,Christian Walker,1B,5,1,FA,6,1
HAWN,Brian Hawn,Dillon Dingler,C,5,1,FA,6,1
HAWN,Brian Hawn,Gregory Soto,RP,5,1,FA,6,1
HAWN,Brian Hawn,Jackson Jobe,SP,5,1,Trade,6,1
HAWN,Brian Hawn,Andy Pages,OF,4,2,Keep,7,3
HAWN,Brian Hawn,Antonio Senzatela,SP,4,1,FA,5,1
HAWN,Brian Hawn,Brent Headrick,RP,4,1,FA,5,1
HAWN,Brian Hawn,Chase Meidroth,SS,4,1,FA,5,1
HAWN,Brian Hawn,JT Ginn,SP,4,1,FA,5,1
HAWN,Brian Hawn,Jackson Flora,SP,4,1,FA,5,1
HAWN,Brian Hawn,Josue De Paula,OF,4,1,FA,5,1
HAWN,Brian Hawn,Mike Sirota,OF,4,1,FA,5,1
HAWN,Brian Hawn,Taj Bradley,SP,4,1,Trade,5,1
HAWN,Brian Hawn,Andre Pallante,SP,3,1,FA,4,1
HAWN,Brian Hawn,Dominic Canzone,OF,3,1,FA,4,1
HAWN,Brian Hawn,Franklin Arias,SS,3,1,Trade,4,1
HAWN,Brian Hawn,Justin Wrobleski,SP,3,1,Trade,4,1
HAWN,Brian Hawn,Trevor Rogers,SP,3,1,Keep,4,1
HAWN,Brian Hawn,Seth Lugo,SP,2,1,Keep,3,1
JAKE,Jake Kalos,Ozzie Albies,2B,24,1,Draft,25,1
JAKE,Jake Kalos,Juan Soto,OF,23,4,Keep,30,7
JAKE,Jake Kalos,Kyle Tucker,OF,23,3,Keep,28,5
JAKE,Jake Kalos,Blake Snell,SP,22,1,Trade,23,1
JAKE,Jake Kalos,Aaron Judge,OF,21,1,Keep,22,1
JAKE,Jake Kalos,Bobby Witt Jr.,SS,13,2,Keep,16,3
JAKE,Jake Kalos,Mason Miller,SP,12,1,Keep,13,1
