date,team,direction,player,positions,salary
2026-08-26,CHAZ,drop,Carson Whisenhunt,SP,4
2026-08-30,CHAZ,drop,Brandon Nimmo,OF,10
2026-08-30,CHAZ,add,Trent Grisham,OF,3
2026-08-30,CHAZ,drop,Zac Veen,OF,4
2026-08-30,CHAZ,add,Henry Bolte,OF,3
2026-08-30,GORD,drop,Tyler Wells,SP,3
2026-08-30,GORD,add,Colt Emerson,SS,3
2026-08-30,JAKE,drop,Shane Bieber,SP,9
2026-08-30,JAKE,add,Patrick Sandoval,SP,3
2026-08-30,FREE,drop,Martin Perez,SP,3
2026-08-30,FREE,add,Grayson Rodriguez,SP,3
2026-08-30,NISH,drop,Cristian Javier,SP,3
2026-08-30,NISH,add,Zebby Matthews,SP,6
2026-08-31,CHAZ,add,Willi Castro,OF,3
2026-08-31,FREE,drop,Alec Bohm,3B,3
2026-08-31,FREE,add,Coby Mayo,1B,4
2026-08-31,FREE,drop,Esmerlyn Valdez,OF,3
2026-08-31,FREE,add,George Springer,UT,4
2026-08-31,WILB,drop,Mitch Bratt,SP,3
2026-08-31,WILB,add,Randy Vasquez,SP,5
2026-08-31,JAKE,drop,Brayan Bello,SP,3
2026-08-31,JAKE,add,David Peterson,SP,3
2026-08-31,NISH,add,Lazaro Montes,OF,3
2026-08-31,SPER,drop,Ernie Clement,3B/2B/SS,4
2026-08-31,SPER,add,Heriberto Hernandez,OF,3
2026-08-31,JAKE,drop,Nolan Arenado,3B,3
2026-08-31,JAKE,add,Ryan Gusto,SP,3
2026-09-06,KELL,drop,Abimelec Ortiz,1B,3
2026-09-06,NISH,drop,Lazaro Montes,OF,3
2026-09-06,CHAZ,drop,Spencer Horwitz,1B,4
2026-09-06,CHAZ,add,Ernie Clement,3B,3
2026-09-06,FREE,drop,Dylan Lee,RP,3
2026-09-06,FREE,add,Tyler Wells,SP,3
2026-09-06,KELL,drop,Gage Jump,SP,4
2026-09-06,KELL,add,Cam Smith,OF,3
2026-09-06,NORT,drop,Chandler Simpson,OF,3
2026-09-06,NORT,add,Carter Jensen,C,3
2026-09-06,GORD,drop,Joe Musgrove,SP,3
2026-09-06,GORD,add,Cristian Javier,SP,5
2026-09-06,JST,drop,George Klassen,SP,3
2026-09-06,JST,add,Ryan Johnson,RP,5
2026-09-07,SPER,drop,Luis Castillo,SP,3
2026-09-07,SPER,add,Cooper Hjerpe,SP,3
2026-09-07,JAKE,drop,Adley Rutschman,C,8
2026-09-07,JAKE,add,Salvador Perez,C,3
2026-09-07,FREE,drop,AJ Smith-Shawver,SP,3
2026-09-07,FREE,add,Cooper Pratt,SS,3
2026-09-11,JAKE,drop,Ryan Gusto,SP,3
2026-09-13,FREE,drop,George Springer,UT,4
2026-09-13,FREE,add,Jarlin Susana,SP,3
2026-09-13,BORG,drop,Bryson Stott,2B,5
2026-09-13,BORG,add,Jeffrey Springs,SP,3
2026-09-13,FREE,drop,Grayson Rodriguez,SP,3
2026-09-13,FREE,add,Emmet Sheehan,SP,5
2026-09-13,GORD,drop,Angel Genao,SS,3
2026-09-13,GORD,add,Adley Rutschman,C,5
2026-09-13,JST,add,Jonah Tong,SP,5
2026-09-13,JST,drop,Roch Cholowsky,SS,6
